document_id,source_filename,total_chunks,estado
Compilado_Segunda_Modificacion_Anexo_1_RMF2025-03112025,Compilado_Segunda_Modificacion_Anexo_1_RMF2025-03112025.pdf,65,OK
Anexo26_RMF2025_DOF-03112025,Anexo26_RMF2025_DOF-03112025.pdf,66,OK
5a_RMRMF_2025-22102025-DOF,5a_RMRMF_2025-22102025-DOF.pdf,67,OK
Anexo_30_RMF2025-DOF-14012025,Anexo_30_RMF2025-DOF-14012025.pdf,71,OK
RFA_2025-17022025,RFA_2025-17022025.pdf,73,OK
Compilado_Primera_Modificacion_Anexo_30_RMF2025-03112025,Compilado_Primera_Modificacion_Anexo_30_RMF2025-03112025.pdf,86,OK
Compilado_Primera_Modificacion_Anexo_11_RMF_2025_13052025,Compilado_Primera_Modificacion_Anexo_11_RMF_2025_13052025.pdf,102,OK
REGLAMENTO_CODIGO_FISCAL_FEDERACION,REGLAMENTO_CODIGO_FISCAL_FEDERACION.pdf,108,OK
Compilado_Primera_Modificacion_RMF2025-DOF-22012025,Compilado_Primera_Modificacion_RMF2025-DOF-22012025.pdf,110,OK
CONVENCION_MULTILATERAL_BEPS_(MLI)_OCDE,CONVENCION_MULTILATERAL_BEPS_(MLI)_OCDE.pdf,120,OK
Anexo_23_RMF2025-DOF-14012025,Anexo_23_RMF2025-DOF-14012025.pdf,141,OK
REGLAMENTO_LEY_ADUANERA,REGLAMENTO_LEY_ADUANERA.pdf,185,OK
Anexo20_RMF2022-DOF-13012022,Anexo20_RMF2022-DOF-13012022.pdf,193,OK
Anexo3_RMF2025_DOF-03012025,Anexo3_RMF2025_DOF-03012025.pdf,206,OK
Compilado_Primera_Modificacion_Anexo_3_RMF_2025_13052025,Compilado_Primera_Modificacion_Anexo_3_RMF_2025_13052025.pdf,248,OK
REGLAMENTO_LEY_IMPUESTO_SOBRE_RENTA,REGLAMENTO_LEY_IMPUESTO_SOBRE_RENTA.pdf,271,OK
Anexo7_RMF2025-DOF-03012025,Anexo7_RMF2025-DOF-03012025.pdf,283,OK
LEY_DEL_IMPUESTO_VALOR_AGREGADO,LEY_DEL_IMPUESTO_VALOR_AGREGADO.pdf,286,OK
Compilado_Octava_Modificacion_Anexo_6_RMF2014,Compilado_Octava_Modificacion_Anexo_6_RMF2014.pdf,325,OK
Compilado_Primera_Modificacion_Anexo 7_RMF2025_09072025,Compilado_Primera_Modificacion_Anexo 7_RMF2025_09072025.pdf,340,OK
Anexo1-A_CuartaModificacion-RMF2025_DOF-28102025,Anexo1-A_CuartaModificacion-RMF2025_DOF-28102025.pdf,341,OK
LEY_IMPUESTO_ESPECIAL_PRODUCCION_SERVICIOS,LEY_IMPUESTO_ESPECIAL_PRODUCCION_SERVICIOS.pdf,341,OK
Anexo1-A_TerceraModificacion-RMF2025_DOF-13052025,Anexo1-A_TerceraModificacion-RMF2025_DOF-13052025.pdf,465,OK
LEY_ADUANERA,LEY_ADUANERA.pdf,534,OK
Anexo14_RMF2025-DOF-03012025,Anexo14_RMF2025-DOF-03012025.pdf,749,OK
LEY_DEL_IMPUESTO_SOBRE_LA_RENTA,LEY_DEL_IMPUESTO_SOBRE_LA_RENTA.pdf,897,OK
CONSTITUCION_POLITICA_ESTADOS_UNIDOS_MEXICANOS,CONSTITUCION_POLITICA_ESTADOS_UNIDOS_MEXICANOS.pdf,902,OK
CODIGO_FISCAL_DE_LA_FEDERACION,CODIGO_FISCAL_DE_LA_FEDERACION.pdf,941,OK
Compilado_Primera_Modificacion_Anexo_14_RMF_2025_13052025,Compilado_Primera_Modificacion_Anexo_14_RMF_2025_13052025.pdf,995,OK
Compilado_Segunda_Modificacion_Anexo_14_RMF2025-03112025,Compilado_Segunda_Modificacion_Anexo_14_RMF2025-03112025.pdf,1026,OK
Anexo_16_RMF_2025-DOF-20012025,Anexo_16_RMF_2025-DOF-20012025.pdf,1349,OK
Anexo_16-A_RMF_2025-DPF-27012025,Anexo_16-A_RMF_2025-DPF-27012025.pdf,1622,OK
Compilado_Novena_Modificacion_Anexo_15_RMF2022-27122021,Compilado_Novena_Modificacion_Anexo_15_RMF2022-27122021.pdf,1693,OK
Compilado_Decima_Modificacion_Anexo_15_RMF_2022_13052025,Compilado_Decima_Modificacion_Anexo_15_RMF_2022_13052025.pdf,1779,OK
Compilado_Decima_Primera_Modificacion_Anexo_15_RMF2022-03112025,Compilado_Decima_Primera_Modificacion_Anexo_15_RMF2022-03112025.pdf,1880,OK
RMF_2025-30122024,RMF_2025-30122024.pdf,1923,OK
SHCP_281225_01,SHCP_281225_01.pdf,2012,OK
Compilado_Segunda_Modificacion_RMF2025-DOF-07042025,Compilado_Segunda_Modificacion_RMF2025-DOF-07042025.pdf,2158,OK
Compilado_Tercera_Modificacion_RMF2025_DOF_13052025,Compilado_Tercera_Modificacion_RMF2025_DOF_13052025.pdf,2182,OK
Compilado_Cuarta_Modificacion_RFM2025_DOF-09072025,Compilado_Cuarta_Modificacion_RFM2025_DOF-09072025.pdf,2187,OK
Anexo_1-A_RMF2025_13012025,Anexo_1-A_RMF2025_13012025.pdf,2200,OK
Anexo1-A_SegundaModificacion-RMF2025_DOF-07042025,Anexo1-A_SegundaModificacion-RMF2025_DOF-07042025.pdf,2214,OK
Compilado_Quinta_Modificacion_RMF2025-DOF-22102025,Compilado_Quinta_Modificacion_RMF2025-DOF-22102025.pdf,2216,OK
Compilado_Primera_Modificacion_Anexo_1-A_RMF2025-22012025,Compilado_Primera_Modificacion_Anexo_1-A_RMF2025-22012025.pdf,2595,OK
Compilado_Tercera_Modificacion_Anexo1A_RMF_2025-13052025,Compilado_Tercera_Modificacion_Anexo1A_RMF_2025-13052025.pdf,2728,OK
Compilado_Cuarta_Modificacion_Anexo_1-A_RMF2025-28102025,Compilado_Cuarta_Modificacion_Anexo_1-A_RMF2025-28102025.pdf,2731,OK
Compilado_Segunda_Modificacion_Anexo_1-A_RMF2025-07042025,Compilado_Segunda_Modificacion_Anexo_1-A_RMF2025-07042025.pdf,2735,OK
